Date,SHOP
11/15/2017,98.04
11/16/2017,103.89
11/17/2017,104.89
11/20/2017,108.56
11/21/2017,110.17
11/22/2017,110.41
11/24/2017,111.81
11/27/2017,113.36
11/28/2017,112.09
11/29/2017,103.67
11/30/2017,103.82
12/1/2017,103.27
12/4/2017,96.62
12/5/2017,95.28
12/6/2017,95.77
12/7/2017,99.79
12/8/2017,100.77
12/11/2017,104.11
12/12/2017,101.4
12/13/2017,103.21
12/14/2017,103.23
12/15/2017,105.22
12/18/2017,107.62
12/19/2017,105.73
12/20/2017,105.24
12/21/2017,104.8
12/22/2017,103.86
12/26/2017,104.84
12/27/2017,104.5
12/28/2017,102.39
12/29/2017,101
1/2/2018,105.49
1/3/2018,107.75
1/4/2018,109.95
1/5/2018,110.58
1/8/2018,112.35
1/9/2018,110.73
1/10/2018,111
1/11/2018,111.13
1/12/2018,112.8
1/16/2018,111.92
1/17/2018,114.91
1/18/2018,114.8
1/19/2018,115.48
1/22/2018,119.43
1/23/2018,118.69
1/24/2018,119.67
1/25/2018,124.9
1/26/2018,129.07
1/29/2018,127.3
1/30/2018,124.21
1/31/2018,127.92
2/1/2018,126.28
2/2/2018,125.12
2/5/2018,118.3
2/6/2018,122.14
2/7/2018,123.34
2/8/2018,118.51
2/9/2018,119.55
2/12/2018,127.94
2/13/2018,126.06
2/14/2018,137.56
2/15/2018,137.95
2/16/2018,137.53
2/20/2018,142.78
2/21/2018,132.9
2/22/2018,134.18
2/23/2018,137
2/26/2018,136.27
2/27/2018,137.66
2/28/2018,138.21
3/1/2018,136.85
3/2/2018,136.75
3/5/2018,139.29
3/6/2018,141.51
3/7/2018,143.68
3/8/2018,147.41
3/9/2018,149.16
3/12/2018,148.15
3/13/2018,145.32
3/14/2018,146.25
3/15/2018,147.41
3/16/2018,147.22
3/19/2018,145.62
3/20/2018,153.11
3/21/2018,149.4
3/22/2018,145.45
3/23/2018,141.66
3/26/2018,136.72
3/27/2018,128.82
3/28/2018,121.6
3/29/2018,124.59
4/2/2018,122.08
4/3/2018,119.37
4/4/2018,120.67
4/5/2018,120.14
4/6/2018,117.42
4/9/2018,118.95
4/10/2018,122.87
4/11/2018,119.53
4/12/2018,120.75
4/13/2018,117.51
4/16/2018,116.94
4/17/2018,125.96
4/18/2018,127.56
4/19/2018,126.67
4/20/2018,126.79
4/23/2018,122.91
4/24/2018,123.14
4/25/2018,120.02
4/26/2018,124.15
4/27/2018,126.62
4/30/2018,133.63
5/1/2018,127.68
5/2/2018,124.81
5/3/2018,135.17
5/4/2018,136.13
5/7/2018,138.56
5/8/2018,143.31
5/9/2018,146.1
5/10/2018,146.23
5/11/2018,144.47
5/14/2018,142.64
5/15/2018,142.5
5/16/2018,142.28
5/17/2018,146.1
5/18/2018,147.06
5/21/2018,144.51
5/22/2018,138.75
5/23/2018,140.83
5/24/2018,143.05
5/25/2018,143.64
5/29/2018,143.29
5/30/2018,145.84
5/31/2018,148.09
6/1/2018,150.8
6/4/2018,156.91
6/5/2018,161.06
6/6/2018,165.36
6/7/2018,161.26
6/8/2018,162.81
6/11/2018,160.24
6/12/2018,165.24
6/13/2018,165.09
6/14/2018,167.94
6/15/2018,168.44
6/18/2018,172.84
6/19/2018,170.61
6/20/2018,172.25
6/21/2018,164.54
6/22/2018,162.53
6/25/2018,153.21
6/26/2018,155.01
6/27/2018,144.7
6/28/2018,146.55
6/29/2018,145.89
7/2/2018,149.42
7/3/2018,150.5
7/5/2018,152.68
7/6/2018,156.81
7/9/2018,158.45
7/10/2018,158.98
