Date,RBC
1/14/2016,48.41
1/15/2016,46.11
1/19/2016,46.29
1/20/2016,45.26
1/21/2016,46.77
1/22/2016,48.97
1/25/2016,46.97
1/26/2016,48.01
1/27/2016,48.64
1/28/2016,50.55
1/29/2016,51.24
2/1/2016,51.16
2/2/2016,49.94
2/3/2016,50.9
2/4/2016,51.64
2/5/2016,51.17
2/8/2016,49.75
2/9/2016,48.73
2/10/2016,47.51
2/11/2016,46.7
2/12/2016,49.06
2/16/2016,50.01
2/17/2016,51.71
2/18/2016,51.64
2/19/2016,51.75
2/22/2016,51.55
2/23/2016,50.58
2/24/2016,49.51
2/25/2016,50
2/26/2016,50.59
2/29/2016,50.97
3/1/2016,52.23
3/2/2016,52.21
3/3/2016,52.81
3/4/2016,53.6
3/7/2016,54.39
3/8/2016,54.13
3/9/2016,55.24
3/10/2016,54.91
3/11/2016,56.07
3/14/2016,55.95
3/15/2016,55.83
3/16/2016,56.84
3/17/2016,58.35
3/18/2016,57.66
3/21/2016,57.57
3/22/2016,57.45
3/23/2016,56.69
3/24/2016,55.85
3/28/2016,56.69
3/29/2016,57.25
3/30/2016,58.25
3/31/2016,57.56
4/1/2016,57.68
4/4/2016,57.19
4/5/2016,56.34
4/6/2016,56.41
4/7/2016,56.01
4/8/2016,57.62
4/11/2016,58.06
4/12/2016,59.38
4/13/2016,59.95
4/14/2016,60.19
4/15/2016,60.42
4/18/2016,60.78
4/19/2016,61.86
4/20/2016,62.23
4/21/2016,60.85
4/22/2016,61.26
4/25/2016,60.96
4/26/2016,61.67
4/27/2016,61.79
4/28/2016,61.97
4/29/2016,62.12
5/2/2016,61.97
5/3/2016,59.91
5/4/2016,58.8
5/5/2016,58.79
5/6/2016,58.95
5/9/2016,58.35
5/10/2016,59.34
5/11/2016,59.58
5/12/2016,59.97
5/13/2016,59.37
5/16/2016,59.76
5/17/2016,59.53
5/18/2016,60
5/19/2016,59.17
5/20/2016,59.34
5/23/2016,59.4
5/24/2016,59.74
5/25/2016,60.89
5/26/2016,61.73
5/27/2016,61.85
5/31/2016,60.21
6/1/2016,60.57
6/2/2016,60.78
6/3/2016,61.28
6/6/2016,61.9
6/7/2016,62.64
6/8/2016,62.78
6/9/2016,62.39
6/10/2016,61.57
6/13/2016,61.29
6/14/2016,59.99
6/15/2016,59.59
6/16/2016,59.61
6/17/2016,60.13
6/20/2016,60.95
6/21/2016,61.4
6/22/2016,61.12
6/23/2016,62.43
6/24/2016,59.39
6/27/2016,57.5
6/28/2016,58.63
6/29/2016,59.25
6/30/2016,59.09
7/1/2016,59.2
7/5/2016,59.1
7/6/2016,59.14
7/7/2016,59.01
7/8/2016,59.36
7/11/2016,59.56
7/12/2016,60.66
7/13/2016,61.04
7/14/2016,61.91
7/15/2016,61.92
7/18/2016,61.85
7/19/2016,61.38
7/20/2016,61.89
7/21/2016,61.44
7/22/2016,60.58
7/25/2016,60.41
7/26/2016,60.92
7/27/2016,60.17
7/28/2016,60.57
7/29/2016,60.96
8/1/2016,60.28
8/2/2016,60
8/3/2016,60.29
8/4/2016,60.51
8/5/2016,60.31
8/8/2016,60.69
8/9/2016,61.13
8/10/2016,61.41
8/11/2016,62.03
8/12/2016,61.79
8/15/2016,62.03
8/16/2016,62.21
8/17/2016,62.47
8/18/2016,62.74
8/19/2016,62.92
8/22/2016,62.56
8/23/2016,63.6
8/24/2016,63.38
8/25/2016,62.96
8/26/2016,62.76
8/29/2016,62.79
8/30/2016,62.46
8/31/2016,62.12
9/1/2016,62.28
9/2/2016,62.77
9/6/2016,63.51
9/7/2016,63.1
9/8/2016,62.71
9/9/2016,61.84
9/12/2016,61.79
9/13/2016,60.87
9/14/2016,60.69
9/15/2016,61.84
9/16/2016,61.11
9/19/2016,61.1
9/20/2016,61.32
9/21/2016,62.23
9/22/2016,62.64
9/23/2016,61.78
9/26/2016,61.11
9/27/2016,61.2
9/28/2016,62.16
9/29/2016,61.74
9/30/2016,61.96
10/3/2016,61.75
10/4/2016,61.48
10/5/2016,61.93
10/6/2016,62.16
10/7/2016,61.62
10/10/2016,61.98
10/11/2016,61.95
10/12/2016,61.94
10/13/2016,62.62
10/14/2016,62.88
10/17/2016,63.05
10/18/2016,63.66
10/19/2016,63.73
10/20/2016,63.48
10/21/2016,63.41
10/24/2016,62.59
10/25/2016,62.53
10/26/2016,62.52
10/27/2016,62.56
10/28/2016,62.54
10/31/2016,62.48
11/1/2016,62.12
11/2/2016,61.67
11/3/2016,61.81
11/4/2016,61.2
11/7/2016,62.13
11/8/2016,62.76
11/9/2016,63.06
11/10/2016,63.65
11/11/2016,63.47
11/14/2016,63.89
11/15/2016,63.99
11/16/2016,64.01
11/17/2016,64.34
11/18/2016,64.55
