Date,TSLA
5/3/2016,232.32
5/4/2016,222.56
5/5/2016,211.53
5/6/2016,214.93
5/9/2016,208.92
5/10/2016,208.69
5/11/2016,208.96
5/12/2016,207.28
5/13/2016,207.61
5/16/2016,208.29
5/17/2016,204.66
5/18/2016,211.17
5/19/2016,215.21
5/20/2016,220.28
5/23/2016,216.22
5/24/2016,217.91
5/25/2016,219.58
5/26/2016,225.12
5/27/2016,223.04
5/31/2016,223.23
6/1/2016,219.56
6/2/2016,218.96
6/3/2016,218.99
6/6/2016,220.68
6/7/2016,232.34
6/8/2016,235.52
6/9/2016,229.36
6/10/2016,218.79
6/13/2016,217.87
6/14/2016,214.96
6/15/2016,217.7
6/16/2016,217.93
6/17/2016,215.47
6/20/2016,219.7
6/21/2016,219.61
6/22/2016,196.66
6/23/2016,196.4
6/24/2016,193.15
6/27/2016,198.55
6/28/2016,201.79
6/29/2016,210.19
6/30/2016,212.28
7/1/2016,216.5
7/5/2016,213.98
7/6/2016,214.44
7/7/2016,215.94
7/8/2016,216.78
7/11/2016,224.78
7/12/2016,224.65
7/13/2016,222.53
7/14/2016,221.53
7/15/2016,220.4
7/18/2016,226.25
7/19/2016,225.26
7/20/2016,228.36
7/21/2016,220.5
7/22/2016,222.27
7/25/2016,230.01
7/26/2016,229.51
7/27/2016,228.49
7/28/2016,230.61
7/29/2016,234.79
8/1/2016,230.01
8/2/2016,227.2
8/3/2016,225.79
8/4/2016,230.61
8/5/2016,230.03
8/8/2016,226.16
8/9/2016,229.08
8/10/2016,225.65
8/11/2016,224.91
8/12/2016,225.61
8/15/2016,225.59
8/16/2016,223.61
8/17/2016,223.24
8/18/2016,223.51
8/19/2016,225
8/22/2016,222.93
8/23/2016,224.84
8/24/2016,222.62
8/25/2016,220.96
8/26/2016,219.99
8/29/2016,215.2
8/30/2016,211.34
8/31/2016,212.01
9/1/2016,200.77
9/2/2016,197.78
9/6/2016,202.83
9/7/2016,201.71
9/8/2016,197.36
9/9/2016,194.47
9/12/2016,198.3
9/13/2016,196.05
9/14/2016,196.41
9/15/2016,200.42
9/16/2016,205.4
9/19/2016,206.34
9/20/2016,204.64
9/21/2016,205.22
9/22/2016,206.43
9/23/2016,207.45
9/26/2016,208.99
9/27/2016,205.81
9/28/2016,206.27
9/29/2016,200.7
9/30/2016,204.03
10/3/2016,213.7
10/4/2016,211.41
10/5/2016,208.46
10/6/2016,201
10/7/2016,196.61
10/10/2016,200.95
10/11/2016,200.1
10/12/2016,201.51
